id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
400222,583,271,46.4837049743,99.0099009901,2010-11-29,2013-03-21
300071,8751,937,10.7073477317,98.0198019802,1987-01-06,2013-03-21
300058,5125,399,7.78536585366,97.0297029703,1997-01-22,2013-03-21
300060,9453,724,7.6589442505,96.0396039604,1985-01-29,2013-01-31
412218,469,31,6.60980810235,95.0495049505,2011-05-09,2013-03-21
412491,535,32,5.98130841121,94.0594059406,2011-01-26,2013-03-21
400418,2533,140,5.52704303198,93.0693069307,2005-01-06,2013-03-21
300084,9494,483,5.08742363598,92.0792079208,1985-01-29,2013-03-21
400284,535,27,5.04672897196,91.0891089109,2011-01-26,2013-03-21
300075,3208,141,4.39526184539,90.099009901,2003-01-07,2013-03-21
400576,2533,110,4.34267666798,89.1089108911,2005-01-06,2013-03-21
412492,535,23,4.29906542056,88.1188118812,2011-01-26,2013-03-21
400194,2533,107,4.22424003158,87.1287128713,2005-01-06,2013-03-21
412545,49,2,4.08163265306,86.1386138614,2013-01-24,2013-03-21
300051,9493,373,3.92921099758,85.1485148515,1985-01-29,2013-03-21
300065,14595,544,3.72730387119,84.1584158416,1975-01-27,2013-03-21
300055,6046,220,3.63876943434,83.1683168317,1994-12-01,2013-03-21
412321,1231,44,3.57432981316,82.1782178218,2009-01-11,2013-03-21
300052,13312,471,3.53816105769,81.1881188119,1977-01-14,2013-03-21
300047,3208,113,3.52244389027,80.198019802,2003-01-07,2013-03-21
300011,6768,235,3.47222222222,79.2079207921,1993-02-03,2013-03-21
300073,8754,298,3.40415809915,78.2178217822,1987-01-06,2013-03-21
400054,2533,79,3.11883142519,77.2277227723,2005-01-06,2013-03-21
300021,3208,100,3.11720698254,76.2376237624,2003-01-07,2013-03-21
300064,9518,277,2.91027526791,75.2475247525,1983-02-01,2013-03-21
300023,12164,353,2.90200591911,74.2574257426,1979-02-22,2013-03-21
412326,1231,35,2.84321689683,73.2673267327,2009-01-11,2013-03-21
300063,5125,138,2.69268292683,72.2772277228,1997-01-22,2013-03-21
412320,1231,33,2.68074735987,71.2871287129,2009-01-11,2013-03-21
300002,3208,85,2.64962593516,70.297029703,2003-01-07,2013-03-21
412490,535,14,2.61682242991,69.3069306931,2011-01-26,2013-03-21
412243,1888,49,2.59533898305,68.3168316832,2007-01-08,2013-03-21
300030,4513,113,2.50387768668,67.3267326733,1999-01-08,2013-03-21
300083,5125,127,2.47804878049,66.3366336634,1997-01-22,2013-03-21
412495,535,13,2.42990654206,65.3465346535,2011-01-26,2013-03-21
400432,1446,35,2.42047026279,64.3564356436,2008-01-22,2013-03-21
300041,5125,120,2.34146341463,63.3663366337,1997-01-22,2013-03-21
300005,12162,276,2.26936359151,62.3762376238,1979-02-22,2013-03-21
400272,2167,47,2.16889709275,61.3861386139,2006-01-30,2013-03-21
300088,5125,110,2.14634146341,60.396039604,1997-01-22,2013-03-21
300076,6768,144,2.12765957447,59.4059405941,1993-02-03,2013-03-21
400408,535,11,2.05607476636,55.4455445545,2011-01-26,2013-03-21
400040,535,11,2.05607476636,55.4455445545,2011-01-26,2013-03-21
412494,535,11,2.05607476636,55.4455445545,2011-01-26,2013-03-21
400034,535,11,2.05607476636,55.4455445545,2011-01-26,2013-03-21
400134,49,1,2.04081632653,53.4653465347,2013-01-24,2013-03-21
412573,49,1,2.04081632653,53.4653465347,2013-01-24,2013-03-21
300043,6768,134,1.97990543735,52.4752475248,1993-02-03,2013-03-21
402675,3978,77,1.93564605329,51.4851485149,1989-01-25,2013-03-21
300089,8754,168,1.91912268677,50.495049505,1987-01-06,2013-03-21
300027,3208,61,1.90149625935,49.504950495,2003-01-07,2013-03-21
400412,1231,21,1.7059301381,48.5148514851,2009-01-11,2013-03-21
400357,1888,32,1.69491525424,47.5247524752,2007-01-08,2013-03-21
300100,5423,84,1.54895814125,46.5346534653,1996-02-06,2013-03-21
400413,1231,19,1.54346060114,45.5445544554,2009-01-11,2013-03-21
412391,586,9,1.53583617747,44.5544554455,2010-11-17,2013-03-21
412322,1231,18,1.46222583266,42.5742574257,2009-01-11,2013-03-21
412324,1231,18,1.46222583266,42.5742574257,2009-01-11,2013-03-21
400546,2533,37,1.46071851559,41.5841584158,2005-01-06,2013-03-21
300078,3841,56,1.4579536579,40.5940594059,2001-01-23,2013-03-21
412323,1231,17,1.38099106418,39.603960396,2009-01-11,2013-03-21
400050,1888,25,1.32415254237,38.6138613861,2007-01-08,2013-03-21
412248,1888,24,1.27118644068,37.6237623762,2007-01-08,2013-03-21
300066,12162,152,1.2497944417,36.6336633663,1979-02-22,2013-03-21
300087,4513,55,1.21870152892,35.6435643564,1999-01-08,2013-03-21
412247,1888,22,1.16525423729,34.6534653465,2007-01-08,2013-03-21
300082,8754,94,1.07379483665,33.6633663366,1987-01-06,2013-03-21
300038,5125,51,0.99512195122,32.6732673267,1997-01-22,2013-03-21
412223,1216,12,0.986842105263,31.6831683168,2009-01-27,2013-03-21
400325,535,5,0.934579439252,30.6930693069,2011-01-26,2013-03-21
412325,1231,11,0.89358245329,29.702970297,2009-01-11,2013-03-21
300019,3841,33,0.859151262692,28.7128712871,2001-01-23,2013-03-21
300072,9494,81,0.853170423425,27.7227722772,1985-01-29,2013-03-21
300093,3841,32,0.833116375944,26.7326732673,2001-01-23,2013-03-21
412242,1888,15,0.794491525424,24.7524752475,2007-01-08,2013-03-21
412244,1888,15,0.794491525424,24.7524752475,2007-01-08,2013-03-21
412493,535,4,0.747663551402,23.7623762376,2011-01-26,2013-03-21
300018,3841,26,0.676907055454,22.7722772277,2001-01-23,2013-03-21
300081,5125,32,0.624390243902,21.7821782178,1997-01-22,2013-03-21
412251,1662,10,0.601684717208,20.7920792079,2007-06-26,2013-03-21
300080,3208,18,0.561097256858,19.801980198,2003-01-07,2013-03-21
412496,535,3,0.560747663551,18.8118811881,2011-01-26,2013-03-21
412330,1221,6,0.4914004914,17.8217821782,2009-01-22,2013-03-21
412246,1888,8,0.423728813559,16.8316831683,2007-01-08,2013-03-21
412390,586,2,0.341296928328,15.8415841584,2010-11-17,2013-03-21
300048,11114,36,0.323915781897,14.8514851485,1981-01-20,2013-03-21
400064,1888,6,0.317796610169,13.8613861386,2007-01-08,2013-03-21
412378,1014,2,0.197238658777,12.8712871287,2009-07-07,2013-03-21
412194,49,0,0.0,0.0,2013-01-24,2013-03-21
412205,49,0,0.0,0.0,2013-01-24,2013-03-21
412281,49,0,0.0,0.0,2013-01-24,2013-03-21
400013,49,0,0.0,0.0,2013-01-24,2013-03-21
412200,49,0,0.0,0.0,2013-01-24,2013-03-21
412471,49,0,0.0,0.0,2013-01-24,2013-03-21
412507,69,0,0.0,0.0,2012-12-27,2013-03-21
412542,49,0,0.0,0.0,2013-01-24,2013-03-21
412554,49,0,0.0,0.0,2013-01-24,2013-03-21
412556,49,0,0.0,0.0,2013-01-24,2013-03-21
412582,49,0,0.0,0.0,2013-01-24,2013-03-21
412586,37,0,0.0,0.0,2013-02-07,2013-03-21
300025,5125,0,0.0,0.0,1997-01-22,2013-03-21
